node_index,depth,left_rank,right_rank,weight,color
1038,10,1,1,1,3
32,5,2,6,5,4
16,4,7,13,7,1
8,3,14,24,11,4
4,2,25,48,24,5
2,1,49,99,51,1
1039,10,0,0,1,3
66,6,3,6,4,3
33,5,0,1,2,4
268,8,4,4,1,8
134,7,5,6,2,2
67,6,2,2,1,3
269,8,3,3,1,8
2170,11,6,6,1,8
135,7,3,4,2,2
2171,11,5,5,1,8
276,8,8,9,2,2
138,7,10,11,2,3
34,5,12,13,2,4
17,4,0,6,7,1
554,9,9,9,1,8
277,8,7,7,1,2
555,9,8,8,1,8
278,8,11,11,1,2
139,7,7,9,3,3
279,8,10,10,1,2
70,6,13,13,1,3
35,5,7,11,5,4
71,6,12,12,1,3
144,7,15,15,1,1
36,5,16,18,3,2
18,4,19,24,6,8
9,3,0,13,14,9
145,7,14,14,1,1
74,6,17,18,2,1
37,5,14,15,2,2
300,8,18,18,1,9
75,6,16,16,1,1
301,8,17,17,1,9
152,7,20,20,1,9
76,6,21,21,1,1
38,5,22,24,3,2
19,4,14,18,5,8
153,7,19,19,1,9
77,6,19,20,2,1
156,7,23,23,1,9
78,6,24,24,1,1
39,5,19,21,3,2
157,7,22,22,1,9
79,6,22,23,2,1
320,8,26,26,1,9
160,7,27,28,2,1
80,6,29,29,1,2
20,4,30,39,10,8
10,3,40,48,9,4
5,2,0,24,25,5
321,8,25,25,1,9
646,9,28,28,1,9
161,7,25,26,2,1
647,9,27,27,1,9
81,6,25,28,4,2
336,8,31,32,2,9
84,6,33,35,3,1
42,5,36,39,4,2
21,4,25,29,5,8
674,9,32,32,1,3
337,8,30,30,1,9
675,9,31,31,1,3
170,7,34,35,2,9
85,6,30,32,3,1
684,9,35,35,1,3
171,7,33,33,1,9
685,9,34,34,1,3
344,8,37,37,1,3
172,7,38,38,1,9
86,6,39,39,1,1
43,5,30,35,6,2
345,8,36,36,1,3
173,7,36,37,2,9
87,6,36,38,3,1
1440,10,41,41,1,9
720,9,42,42,1,1
180,7,43,43,1,2
22,4,44,48,5,8
11,3,25,39,15,4
1441,10,40,40,1,9
721,9,40,41,2,1
181,7,40,42,3,2
368,8,45,45,1,9
92,6,46,46,1,1
46,5,47,48,2,2
23,4,40,43,4,8
369,8,44,44,1,9
93,6,44,45,2,1
94,6,48,48,1,1
47,5,44,46,3,2
95,6,47,47,1,1
768,9,50,50,1,7
192,7,51,52,2,6
48,5,53,55,3,5
24,4,56,60,5,4
12,3,61,75,15,3
6,2,76,99,24,9
3,1,0,48,49,6
769,9,49,49,1,7
386,8,52,52,1,7
193,7,49,50,2,6
387,8,51,51,1,7
98,6,54,55,2,6
49,5,49,52,4,5
796,9,55,55,1,7
99,6,53,53,1,6
797,9,54,54,1,7
200,7,57,58,2,6
100,6,59,60,2,5
25,4,49,55,7,4
1608,10,58,58,1,7
201,7,56,56,1,6
1609,10,57,57,1,7
202,7,60,60,1,6
101,6,56,58,3,5
203,7,59,59,1,6
420,8,62,62,1,7
210,7,63,63,1,6
52,5,64,67,4,5
26,4,68,75,8,4
13,3,49,60,12,3
421,8,61,61,1,7
211,7,61,62,2,6
428,8,65,65,1,7
214,7,66,67,2,6
53,5,61,63,3,5
429,8,64,64,1,7
430,8,67,67,1,7
215,7,64,65,2,6
431,8,66,66,1,7
216,7,69,70,2,7
108,6,71,72,2,6
54,5,73,75,3,5
27,4,61,67,7,4
434,8,70,70,1,8
217,7,68,68,1,7
435,8,69,69,1,8
218,7,72,72,1,7
109,6,68,70,3,6
219,7,71,71,1,7
440,8,74,74,1,7
110,6,75,75,1,6
55,5,68,72,5,5
441,8,73,73,1,7
111,6,73,74,2,6
448,8,77,78,2,5
224,7,79,79,1,4
56,5,80,82,3,8
28,4,83,91,9,2
14,3,92,99,8,2
7,2,49,75,27,2
1798,10,78,78,1,3
449,8,76,76,1,5
1799,10,77,77,1,3
225,7,76,78,3,4
228,7,81,81,1,5
114,6,82,82,1,4
57,5,76,79,4,8
229,7,80,80,1,5
115,6,80,81,2,4
116,6,84,84,1,4
58,5,85,91,7,8
29,4,76,82,7,2
117,6,83,83,1,4
944,9,86,86,1,7
472,8,87,87,1,3
236,7,88,89,2,5
118,6,90,91,2,4
59,5,83,84,2,8
945,9,85,85,1,7
473,8,85,86,2,3
474,8,89,89,1,3
237,7,85,87,3,5
475,8,88,88,1,3
958,9,91,91,1,5
119,6,85,89,5,4
959,9,90,90,1,5
120,6,93,93,1,8
60,5,94,97,4,5
30,4,98,99,2,4
15,3,76,91,16,6
121,6,92,92,1,8
488,8,95,95,1,6
244,7,96,97,2,8
61,5,92,93,2,5
489,8,94,94,1,6
490,8,97,97,1,6
245,7,94,95,2,8
491,8,96,96,1,6
126,6,99,99,1,5
31,4,92,97,6,4
127,6,98,98,1,5
