node_index,depth,left_rank,right_rank,weight,color
1038,10,1,1,1,6
32,5,2,6,5,5
16,4,7,13,7,4
8,3,14,24,11,3
4,2,25,48,24,2
2,1,49,99,51,1
1039,10,0,0,1,6
66,6,3,6,4,6
33,5,0,1,2,5
268,8,4,4,1,8
134,7,5,6,2,7
67,6,2,2,1,6
269,8,3,3,1,8
2170,11,6,6,1,8
135,7,3,4,2,7
2171,11,5,5,1,8
276,8,8,9,2,7
138,7,10,11,2,6
34,5,12,13,2,5
17,4,0,6,7,4
554,9,9,9,1,8
277,8,7,7,1,7
555,9,8,8,1,8
278,8,11,11,1,7
139,7,7,9,3,6
279,8,10,10,1,7
70,6,13,13,1,6
35,5,7,11,5,5
71,6,12,12,1,6
144,7,15,15,1,6
36,5,16,18,3,5
18,4,19,24,6,4
9,3,0,13,14,3
145,7,14,14,1,6
74,6,17,18,2,6
37,5,14,15,2,5
300,8,18,18,1,7
75,6,16,16,1,6
301,8,17,17,1,7
152,7,20,20,1,7
76,6,21,21,1,6
38,5,22,24,3,5
19,4,14,18,5,4
153,7,19,19,1,7
77,6,19,20,2,6
156,7,23,23,1,7
78,6,24,24,1,6
39,5,19,21,3,5
157,7,22,22,1,7
79,6,22,23,2,6
320,8,26,26,1,7
160,7,27,28,2,6
80,6,29,29,1,5
20,4,30,39,10,4
10,3,40,48,9,3
5,2,0,24,25,2
321,8,25,25,1,7
646,9,28,28,1,7
161,7,25,26,2,6
647,9,27,27,1,7
81,6,25,28,4,5
336,8,31,32,2,7
84,6,33,35,3,6
42,5,36,39,4,5
21,4,25,29,5,4
674,9,32,32,1,8
337,8,30,30,1,7
675,9,31,31,1,8
170,7,34,35,2,7
85,6,30,32,3,6
684,9,35,35,1,8
171,7,33,33,1,7
685,9,34,34,1,8
344,8,37,37,1,8
172,7,38,38,1,7
86,6,39,39,1,6
43,5,30,35,6,5
345,8,36,36,1,8
173,7,36,37,2,7
87,6,36,38,3,6
1440,10,41,41,1,7
720,9,42,42,1,6
180,7,43,43,1,5
22,4,44,48,5,4
11,3,25,39,15,3
1441,10,40,40,1,7
721,9,40,41,2,6
181,7,40,42,3,5
368,8,45,45,1,7
92,6,46,46,1,6
46,5,47,48,2,5
23,4,40,43,4,4
369,8,44,44,1,7
93,6,44,45,2,6
94,6,48,48,1,6
47,5,44,46,3,5
95,6,47,47,1,6
768,9,50,50,1,7
192,7,51,52,2,6
48,5,53,55,3,5
24,4,56,60,5,4
12,3,61,75,15,3
6,2,76,99,24,2
3,1,0,48,49,1
769,9,49,49,1,7
386,8,52,52,1,7
193,7,49,50,2,6
387,8,51,51,1,7
98,6,54,55,2,6
49,5,49,52,4,5
796,9,55,55,1,7
99,6,53,53,1,6
797,9,54,54,1,7
200,7,57,58,2,6
100,6,59,60,2,5
25,4,49,55,7,4
1608,10,58,58,1,7
201,7,56,56,1,6
1609,10,57,57,1,7
202,7,60,60,1,6
101,6,56,58,3,5
203,7,59,59,1,6
420,8,62,62,1,7
210,7,63,63,1,6
52,5,64,67,4,5
26,4,68,75,8,4
13,3,49,60,12,3
421,8,61,61,1,7
211,7,61,62,2,6
428,8,65,65,1,7
214,7,66,67,2,6
53,5,61,63,3,5
429,8,64,64,1,7
430,8,67,67,1,7
215,7,64,65,2,6
431,8,66,66,1,7
216,7,69,70,2,7
108,6,71,72,2,6
54,5,73,75,3,5
27,4,61,67,7,4
434,8,70,70,1,8
217,7,68,68,1,7
435,8,69,69,1,8
218,7,72,72,1,7
109,6,68,70,3,6
219,7,71,71,1,7
440,8,74,74,1,7
110,6,75,75,1,6
55,5,68,72,5,5
441,8,73,73,1,7
111,6,73,74,2,6
448,8,77,78,2,7
224,7,79,79,1,6
56,5,80,82,3,5
28,4,83,91,9,4
14,3,92,99,8,3
7,2,49,75,27,2
1798,10,78,78,1,8
449,8,76,76,1,7
1799,10,77,77,1,8
225,7,76,78,3,6
228,7,81,81,1,7
114,6,82,82,1,6
57,5,76,79,4,5
229,7,80,80,1,7
115,6,80,81,2,6
116,6,84,84,1,6
58,5,85,91,7,5
29,4,76,82,7,4
117,6,83,83,1,6
944,9,86,86,1,9
472,8,87,87,1,8
236,7,88,89,2,7
118,6,90,91,2,6
59,5,83,84,2,5
945,9,85,85,1,9
473,8,85,86,2,8
474,8,89,89,1,8
237,7,85,87,3,7
475,8,88,88,1,8
958,9,91,91,1,7
119,6,85,89,5,6
959,9,90,90,1,7
120,6,93,93,1,6
60,5,94,97,4,5
30,4,98,99,2,4
15,3,76,91,16,3
121,6,92,92,1,6
488,8,95,95,1,7
244,7,96,97,2,6
61,5,92,93,2,5
489,8,94,94,1,7
490,8,97,97,1,7
245,7,94,95,2,6
491,8,96,96,1,7
126,6,99,99,1,5
31,4,92,97,6,4
127,6,98,98,1,5
